Name,Date,End Date,Category,Status,Tags,URLs,Description,Location,All Day
元日,2025-01-01,2025-01-01,祝日,,holiday,,日本の祝日,,true
会社の飲み会,2025-01-10,2025-01-10,予定,scheduled,,,,,true
大牟田駅伝,2025-01-12,2025-01-12,予定,scheduled,,,,,true
成人の日,2025-01-13,2025-01-13,祝日,,holiday,,日本の祝日,,true
長州マラソン,2025-01-13,2025-01-13,予定,scheduled,,,,,true
玉名駅伝,2025-01-19,2025-01-19,予定,scheduled,,,,,true
熊日駅伝最終オーダー提出,2025-02-06,2025-02-06,予定,scheduled,,,,,true
熊日駅伝,2025-02-08,2025-02-08,予定,scheduled,,,,,true
有休,2025-02-10,2025-02-10,予定,scheduled,,,,,true
建国記念の日,2025-02-11,2025-02-11,祝日,,holiday,,日本の祝日,,true
熊本城マラソン,2025-02-16,2025-02-16,予定,scheduled,,,,,true
有休,2025-02-17,2025-02-17,予定,scheduled,,,,,true
天皇誕生日,2025-02-23,2025-02-23,祝日,,holiday,,日本の祝日,,true
玉名いだてんマラソン2025,2025-02-23,2025-02-23,予定,scheduled,,,,,true
天皇誕生日 振替休日,2025-02-24,2025-02-24,祝日,,holiday,,日本の祝日,,true
岱明中陸上部お別れ会,2025-03-08,2025-03-08,予定,scheduled,,,,,true
金栗駅伝,2025-03-09,2025-03-09,予定,scheduled,,,,,true
春分の日,2025-03-20,2025-03-20,祝日,,holiday,,日本の祝日,,true
熊澤先生送別会,2025-03-29T10:00:00,2025-03-29,予定,scheduled,,,,,false
入社式,2025-04-01,2025-04-01,予定,scheduled,,,,,true
金栗選抜陸上,2025-04-12,2025-04-12,予定,scheduled,,,,,true
全九州都市対抗陸上,2025-04-13,2025-04-13,予定,scheduled,,,,,true
小泉さん皆川さん訪問,2025-04-14,2025-04-14,予定,scheduled,,,,,true
いだてん岱明保護者会,2025-04-15T10:00:00,2025-04-15,予定,scheduled,,,,,false
会社飲み会,2025-04-18,2025-04-18,予定,scheduled,,,,,true
熊本市陸上選手権,2025-04-19,2025-04-19,予定,scheduled,,,,,true
熊本県選手権,2025-04-26,2025-04-26,予定,scheduled,,,,,true
有給,2025-04-28,2025-04-28,予定,scheduled,,,,,true
昭和の日,2025-04-29,2025-04-29,祝日,,holiday,,日本の祝日,,true
憲法記念日,2025-05-03,2025-05-03,祝日,,holiday,,日本の祝日,,true
みどりの日,2025-05-04,2025-05-04,祝日,,holiday,,日本の祝日,,true
こどもの日,2025-05-05,2025-05-05,祝日,,holiday,,日本の祝日,,true
みどりの日 振替休日,2025-05-06,2025-05-06,祝日,,holiday,,日本の祝日,,true
藤本さんリモート,2025-05-07,2025-05-07,予定,scheduled,,,,,true
藤本さんリモート,2025-05-08,2025-05-08,予定,scheduled,,,,,true
岱明中陸上部保護者会,2025-05-08T10:00:00,2025-05-08,予定,scheduled,,,,,false
藤本さんリモート,2025-05-09,2025-05-09,予定,scheduled,,,,,true
熊本県長距離記録会,2025-05-10,2025-05-10,予定,scheduled,,,,,true
午後休,2025-05-16,2025-05-16,予定,scheduled,,,,,true
岱明中体育大会,2025-05-18,2025-05-18,予定,scheduled,,,,,true
