Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
岱明中冬休み,12/25/2026,,01/07/2027,,True,Status: scheduled,,False
元日,01/01/2027,,01/01/2027,,True,"日本の祝日

Tags: holiday",,False
成人の日,01/11/2027,,01/11/2027,,True,"日本の祝日

Tags: holiday",,False
3年公立前期選抜入試,02/01/2027,,02/01/2027,,True,Status: scheduled,,False
Long-Distance in Omuta,02/07/2027,,02/07/2027,,True,Status: scheduled,,False
3年後期期末テスト,02/08/2027,,02/08/2027,,True,Status: scheduled,,False
1・2年後期期末テスト,02/10/2027,,02/10/2027,,True,Status: scheduled,,False
建国記念の日,02/11/2027,,02/11/2027,,True,"日本の祝日

Tags: holiday",,False
1・2年後期期末テスト,02/12/2027,,02/12/2027,,True,Status: scheduled,,False
第５３回 熊日郡市対抗駅伝,02/14/2027,,02/14/2027,,True,Status: scheduled,,False
熊本城マラソン,02/21/2027,,02/21/2027,,True,Status: scheduled,,False
天皇誕生日,02/23/2027,,02/23/2027,,True,"日本の祝日

Tags: holiday",,False
第８０回 熊本市民駅伝大会,02/27/2027,,02/27/2027,,True,Status: scheduled,,False
岱明中振替休業日,03/02/2027,,03/02/2027,,True,Status: scheduled,,False
公立後期入試,03/03/2027,,03/04/2027,,True,Status: scheduled,,False
岱明中卒業式,03/06/2027,,03/06/2027,,True,Status: scheduled,,False
第７８回 金栗杯玉名ハーフマラソン（ハーフ･10ｋｍ）,03/07/2027,,03/07/2027,,True,Status: scheduled,,False
金栗駅伝,03/14/2027,,03/14/2027,,True,Status: scheduled,,False
春分の日,03/21/2027,,03/21/2027,,True,"日本の祝日

Tags: holiday",,False
春分の日 振替休日,03/22/2027,,03/22/2027,,True,"日本の祝日

Tags: holiday",,False
さくら記録会,03/27/2027,,03/27/2027,,True,Status: scheduled,,False
昭和の日,04/29/2027,,04/29/2027,,True,"日本の祝日

Tags: holiday",,False
憲法記念日,05/03/2027,,05/03/2027,,True,"日本の祝日

Tags: holiday",,False
みどりの日,05/04/2027,,05/04/2027,,True,"日本の祝日

Tags: holiday",,False
こどもの日,05/05/2027,,05/05/2027,,True,"日本の祝日

Tags: holiday",,False
海の日,07/19/2027,,07/19/2027,,True,"日本の祝日

Tags: holiday",,False
山の日,08/11/2027,,08/11/2027,,True,"日本の祝日

Tags: holiday",,False
敬老の日,09/20/2027,,09/20/2027,,True,"日本の祝日

Tags: holiday",,False
秋分の日,09/23/2027,,09/23/2027,,True,"日本の祝日

Tags: holiday",,False
スポーツの日,10/11/2027,,10/11/2027,,True,"日本の祝日

Tags: holiday",,False
文化の日,11/03/2027,,11/03/2027,,True,"日本の祝日

Tags: holiday",,False
勤労感謝の日,11/23/2027,,11/23/2027,,True,"日本の祝日

Tags: holiday",,False
