Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
元日,01/01/2024,,01/01/2024,,True,"日本の祝日

Tags: holiday",,False
成人の日,01/08/2024,,01/08/2024,,True,"日本の祝日

Tags: holiday",,False
長洲マラソン,01/08/2024,,01/08/2024,,True,Status: scheduled,,False
郡市対抗熊日女子駅伝,01/28/2024,,01/28/2024,,True,Status: scheduled,,False
有給,01/29/2024,,01/29/2024,,True,Status: scheduled,,False
熊日駅伝,02/10/2024,,02/10/2024,,True,Status: scheduled,,False
建国記念の日,02/11/2024,,02/11/2024,,True,"日本の祝日

Tags: holiday",,False
建国記念の日 振替休日,02/12/2024,,02/12/2024,,True,"日本の祝日

Tags: holiday",,False
熊本城マラソン,02/18/2024,,02/18/2024,,True,Status: scheduled,,False
有給,02/19/2024,,02/19/2024,,True,Status: scheduled,,False
勉強会,02/20/2024,10:30 AM,02/20/2024,,False,Status: scheduled,,False
飲み会,02/22/2024,,02/22/2024,,True,Status: scheduled,,False
天皇誕生日,02/23/2024,,02/23/2024,,True,"日本の祝日

Tags: holiday",,False
陸上部お別れ会,03/09/2024,,03/09/2024,,True,Status: scheduled,,False
金栗駅伝,03/10/2024,,03/10/2024,,True,Status: scheduled,,False
会社の飲み会,03/15/2024,,03/15/2024,,True,Status: scheduled,,False
LAST RACE in KYUSHU 2024,03/16/2024,,03/16/2024,,True,"ARITA UNITED
何人必要？
11時〜17時くらい
前日はなるべく空けてほしい


Status: scheduled",,False
春分の日,03/20/2024,,03/20/2024,,True,"日本の祝日

Tags: holiday",,False
大牟田春季記録会,03/23/2024,,03/23/2024,,True,Status: scheduled,,False
飲み会,04/19/2024,,04/19/2024,,True,Status: scheduled,,False
昭和の日,04/29/2024,,04/29/2024,,True,"日本の祝日

Tags: holiday",,False
憲法記念日,05/03/2024,,05/03/2024,,True,"日本の祝日

Tags: holiday",,False
みどりの日,05/04/2024,,05/04/2024,,True,"日本の祝日

Tags: holiday",,False
こどもの日,05/05/2024,,05/05/2024,,True,"日本の祝日

Tags: holiday",,False
こどもの日 振替休日,05/06/2024,,05/06/2024,,True,"日本の祝日

Tags: holiday",,False
ガチマナ会,05/21/2024,10:30 AM,05/21/2024,,False,Status: scheduled,,False
高校総体陸上,05/31/2024,,05/31/2024,,True,Status: scheduled,,False
中学選手権,06/08/2024,,06/08/2024,,True,Status: scheduled,,False
通信陸上,06/22/2024,,06/22/2024,,True,Status: scheduled,,False
土山有給,06/24/2024,,06/24/2024,,True,Status: scheduled,,False
長距離記録会,07/06/2024,,07/06/2024,,True,Status: scheduled,,False
海の日,07/15/2024,,07/15/2024,,True,"日本の祝日

Tags: holiday",,False
県中体連陸上,07/20/2024,,07/20/2024,,True,Status: scheduled,,False
土山有給,07/22/2024,,07/22/2024,,True,Status: scheduled,,False
熊本市陸上競技協会,07/27/2024,,07/27/2024,,True,Status: scheduled,,False
荒尾の記録会,07/28/2024,,07/28/2024,,True,Status: scheduled,,False
玉名選手権,08/03/2024,,08/03/2024,,True,Status: scheduled,,False
ATRC  & LTC 合同サマータイムトライアル,08/04/2024,,08/04/2024,,True,Status: scheduled,,False
山の日,08/11/2024,,08/11/2024,,True,"日本の祝日

Tags: holiday",,False
山の日 振替休日,08/12/2024,,08/12/2024,,True,"日本の祝日

Tags: holiday",,False
有休,08/13/2024,,08/13/2024,,True,Status: scheduled,,False
有休,08/14/2024,,08/14/2024,,True,Status: scheduled,,False
会社の飲み会,08/15/2024,,08/15/2024,,True,Status: scheduled,,False
合同練習会,08/16/2024,10:30 PM,08/16/2024,,False,Status: scheduled,,False
合同練習会,08/17/2024,,08/17/2024,,True,Status: scheduled,,False
カフェイン断ち開始,08/23/2024,,08/23/2024,,True,Status: scheduled,,False
ジュニアオリンピック,08/24/2024,,08/24/2024,,True,Status: scheduled,,False
練習会（桃田）,08/25/2024,,08/25/2024,,True,Status: scheduled,,False
練習会（桃田運動公園 金栗広場）,08/25/2024,10:00 AM,08/25/2024,,False,Status: scheduled,,False
練習会（桃田）,08/28/2024,,08/28/2024,,True,Status: scheduled,,False
練習会（桃田運動公園 金栗広場）,08/28/2024,10:00 AM,08/28/2024,,False,Status: scheduled,,False
玉名郡ナイター,08/31/2024,,08/31/2024,,True,Status: scheduled,,False
練習会（桃田）,08/31/2024,,08/31/2024,,True,Status: scheduled,,False
練習会（桃田運動公園 金栗広場）,09/01/2024,10:00 AM,09/01/2024,,False,Status: scheduled,,False
練習会（岱明）,09/04/2024,,09/04/2024,,True,Status: scheduled,,False
練習会（岱明グラウンド）,09/04/2024,10:00 AM,09/04/2024,,False,Status: scheduled,,False
県民体育祭結団式,09/05/2024,9:30 AM,09/05/2024,,False,Status: scheduled,,False
練習会（桃田）,09/08/2024,,09/08/2024,,True,Status: scheduled,,False
練習会（桃田運動公園 金栗広場）,09/08/2024,10:00 AM,09/08/2024,,False,Status: scheduled,,False
練習会（桃田）,09/11/2024,,09/11/2024,,True,Status: scheduled,,False
練習会（桃田運動公園 金栗広場）,09/11/2024,10:00 AM,09/11/2024,,False,Status: scheduled,,False
練習会（桃田）,09/13/2024,,09/13/2024,,True,Status: scheduled,,False
練習会（桃田運動公園 金栗広場）,09/13/2024,10:00 AM,09/13/2024,,False,Status: scheduled,,False
練習会（桃田）,09/15/2024,,09/15/2024,,True,Status: scheduled,,False
練習会（桃田運動公園 金栗広場）,09/15/2024,10:00 AM,09/15/2024,,False,Status: scheduled,,False
敬老の日,09/16/2024,,09/16/2024,,True,"日本の祝日

Tags: holiday",,False
有休,09/17/2024,,09/17/2024,,True,Status: scheduled,,False
練習会（桃田）,09/17/2024,,09/17/2024,,True,Status: scheduled,,False
練習会（桃田運動公園 金栗広場）,09/17/2024,10:00 AM,09/17/2024,,False,Status: scheduled,,False
練習会（桃田）,09/19/2024,,09/19/2024,,True,Status: scheduled,,False
練習会（桃田運動公園 金栗広場）,09/19/2024,10:00 AM,09/19/2024,,False,Status: scheduled,,False
県民体育祭,09/21/2024,,09/21/2024,,True,Status: scheduled,,False
秋分の日,09/22/2024,,09/22/2024,,True,"日本の祝日

Tags: holiday",,False
秋分の日 振替休日,09/23/2024,,09/23/2024,,True,"日本の祝日

Tags: holiday",,False
熊本県中学生ジュニア陸上大会・県ジュニア駅伝大会,09/28/2024,,09/28/2024,,True,Status: scheduled,,False
内定式予定日,10/01/2024,,10/01/2024,,True,Status: scheduled,,False
熊本市陸上競技記録会,10/05/2024,,10/05/2024,,True,Status: scheduled,,False
町民体育祭,10/06/2024,,10/06/2024,,True,Status: scheduled,,False
会社合宿,10/12/2024,,10/12/2024,,True,Status: scheduled,,False
スポーツの日,10/14/2024,,10/14/2024,,True,"日本の祝日

Tags: holiday",,False
有休,10/15/2024,,10/15/2024,,True,Status: scheduled,,False
有休,10/15/2024,3:00 PM,10/15/2024,,False,Status: scheduled,,False
荒尾玉名中体連駅伝,10/16/2024,,10/16/2024,,True,Status: scheduled,,False
熊本県高校駅伝,10/26/2024,,10/26/2024,,True,Status: scheduled,,False
有給,10/28/2024,,10/28/2024,,True,Status: scheduled,,False
有休,11/01/2024,,11/01/2024,,True,Status: scheduled,,False
秋季記録会,11/02/2024,,11/02/2024,,True,Status: scheduled,,False
文化の日,11/03/2024,,11/03/2024,,True,"日本の祝日

Tags: holiday",,False
文化の日 振替休日,11/04/2024,,11/04/2024,,True,"日本の祝日

Tags: holiday",,False
有給,11/08/2024,,11/08/2024,,True,Status: scheduled,,False
健康診断,11/15/2024,,11/15/2024,,True,Status: scheduled,,False
リレーフェス in Omuta,11/17/2024,,11/17/2024,,True,Status: scheduled,,False
熊本県長距離記録会クラブ内申し込み締め切り,11/20/2024,,11/20/2024,,True,Status: scheduled,,False
中長距離選手権,11/23/2024,,11/23/2024,,True,Status: scheduled,,False
勤労感謝の日,11/23/2024,,11/23/2024,,True,"日本の祝日

Tags: holiday",,False
玉名市民マラソン,11/24/2024,,11/24/2024,,True,Status: scheduled,,False
ドメイン契約終了日,11/30/2024,,11/30/2024,,True,Status: scheduled,,False
長距離記録会,12/07/2024,,12/07/2024,,True,Status: scheduled,,False
支館対抗駅伝,12/08/2024,,12/08/2024,,True,Status: scheduled,,False
RKK学童駅伝,12/14/2024,,12/14/2024,,True,Status: scheduled,,False
年末年始休暇,12/28/2024,,12/28/2024,,True,Status: scheduled,,False
玉名市練習会,12/29/2024,,12/29/2024,,True,Status: scheduled,,False
ロリポップ契約終了日,12/31/2024,,12/31/2024,,True,Status: scheduled,,False
