名前,所属,都道府県,性別,カテゴリー,大会名,日付,距離,記録,参考,学年,組,レーン,スタート時間,組人数,組着順,先頭とのタイム差,選手距離キー,記録秒,SB,SB秒,SB採用
田中一花,大淀中,宮崎県,女子,中学生,第32回　金栗記念選抜陸上中長距離熊本大会,2024/04/13,1500m,4:52.41,"http://www.kumariku.org/24/24,4,13kanaguri/rel012.html",2,1,4,09:44,17,1,0.00,田中一花|女子|中学生|1500m,292.41,4:52.41,292.41,true
福田みさ,長洲中,熊本県,女子,中学生,第32回　金栗記念選抜陸上中長距離熊本大会,2024/04/13,1500m,4:52.98,"http://www.kumariku.org/24/24,4,13kanaguri/rel012.html",3,1,6,09:44,17,2,0.57,福田みさ|女子|中学生|1500m,292.98,4:52.64,292.64,false
安藤麻桜,LienAC,福岡県,女子,中学生,第32回　金栗記念選抜陸上中長距離熊本大会,2024/04/13,1500m,4:56.83,"http://www.kumariku.org/24/24,4,13kanaguri/rel012.html",3,1,5,09:44,17,3,4.42,安藤麻桜|女子|中学生|1500m,296.83,4:56.83,296.83,true
池水実花,NRA,鹿児島県,女子,中学生,第32回　金栗記念選抜陸上中長距離熊本大会,2024/04/13,1500m,4:57.88,"http://www.kumariku.org/24/24,4,13kanaguri/rel012.html",3,1,16,09:44,17,4,5.47,池水実花|女子|中学生|1500m,297.88,4:57.88,297.88,true
田﨑富貴,益城中,熊本県,女子,中学生,第32回　金栗記念選抜陸上中長距離熊本大会,2024/04/13,1500m,4:58.12,"http://www.kumariku.org/24/24,4,13kanaguri/rel012.html",2,1,10,09:44,17,5,5.71,田﨑富貴|女子|中学生|1500m,298.12,4:54.06,294.06,false
牟田美千瑠,LienAC,福岡県,女子,中学生,第32回　金栗記念選抜陸上中長距離熊本大会,2024/04/13,1500m,4:58.49,"http://www.kumariku.org/24/24,4,13kanaguri/rel012.html",3,1,7,09:44,17,6,6.08,牟田美千瑠|女子|中学生|1500m,298.49,4:58.49,298.49,true
齊藤里菜,津奈木中,熊本県,女子,中学生,第32回　金栗記念選抜陸上中長距離熊本大会,2024/04/13,1500m,5:00.24,"http://www.kumariku.org/24/24,4,13kanaguri/rel012.html",3,1,8,09:44,17,7,7.83,齊藤里菜|女子|中学生|1500m,300.24,4:58.54,298.54,false
小野幸,大分市立稙田中,大分県,女子,中学生,第32回　金栗記念選抜陸上中長距離熊本大会,2024/04/13,1500m,5:00.34,"http://www.kumariku.org/24/24,4,13kanaguri/rel012.html",2,1,17,09:44,17,8,7.93,小野幸|女子|中学生|1500m,300.34,5:00.34,300.34,true
四浦百花,フィオーレAC,熊本県,女子,中学生,第32回　金栗記念選抜陸上中長距離熊本大会,2024/04/13,1500m,5:00.94,"http://www.kumariku.org/24/24,4,13kanaguri/rel012.html",3,1,3,09:44,17,9,8.53,四浦百花|女子|中学生|1500m,300.94,4:59.08,299.08,false
塚本杏,大分中央陸上,大分県,女子,中学生,第32回　金栗記念選抜陸上中長距離熊本大会,2024/04/13,1500m,5:00.94,"http://www.kumariku.org/24/24,4,13kanaguri/rel012.html",2,1,14,09:44,17,9,8.53,塚本杏|女子|中学生|1500m,300.94,5:00.94,300.94,true
